subject;palette;user_answer;time;ref;left;right;true_answer;correct;incorrect;baseline;lab_left;lab_right;lab_total;lab_diff;ucs_left;ucs_right;ucs_total;ucs_diff;name_left;name_right;name_total;name_diff;sal_left;sal_right;sal_ref;l_left;l_right;l_ref;a_left;a_right;a_ref;b_left;b_right;b_ref;create_time
59b05757a387ff28009469d1;oranges;a;3438;0.8;0.7;1;a;true;0;0.10;10.736;27.688;37.831;16.952;9.111;19.371;28.225;10.260;0.247;0.713;0.973;0.466;0.665;0.333;0.231;54.92;29.34;46.35;51.84;36.60;50.23;62.96;39.62;56.70;Wed Sep 06 2017 13:15:22 GMT-0700 (PDT)
59b05757a387ff28009469d1;oranges;b;1088;0.4;0.2;0.5;b;true;0;0.10;33.244;16.275;49.364;16.969;16.523;7.846;24.295;8.677;0.521;0.136;0.915;0.385;0.273;0.727;0.377;88.57;69.40;75.70;7.59;35.94;25.22;23.04;58.61;48.12;Wed Sep 06 2017 13:15:23 GMT-0700 (PDT)
59b05757a387ff28009469d1;oranges;b;1096;0.55;0.15;0.75;b;true;0;0.20;62.288;18.570;74.801;43.718;31.435;16.071;45.473;15.364;0.984;0.039;0.998;0.945;0.190;0.421;0.709;91.19;50.91;66.00;5.60;51.96;41.27;17.85;60.56;62.27;Wed Sep 06 2017 13:15:24 GMT-0700 (PDT)
59b05757a387ff28009469d1;oranges;a;1535;0.5;0.3;0.9;a;true;0;0.20;34.277;34.426;54.946;0.149;16.570;33.122;46.698;16.552;0.842;0.854;0.967;0.012;0.328;0.154;0.727;82.57;37.39;69.40;14.58;43.06;35.94;35.27;48.14;58.61;Wed Sep 06 2017 13:15:26 GMT-0700 (PDT)
59b05757a387ff28009469d1;oranges;b;1466;0.7;0.6;0.75;b;true;0;0.05;9.356;4.674;13.174;4.682;7.828;4.216;11.908;3.612;0.002;0.022;0.034;-0.020;0.746;0.421;0.665;62.13;50.91;54.92;45.97;51.96;51.84;63.99;60.56;62.96;Wed Sep 06 2017 13:15:27 GMT-0700 (PDT)
59b05757a387ff28009469d1;oranges;a;1677;0.2;0.15;0.3;a;true;0;0.05;6.145;15.309;21.408;9.164;3.377;7.817;11.181;4.440;0.074;0.061;0.217;-0.013;0.190;0.328;0.273;91.19;82.57;88.57;5.60;14.58;7.59;17.85;35.27;23.04;Wed Sep 06 2017 13:15:29 GMT-0700 (PDT)
59b05757a387ff28009469d1;oranges;a;1905;0.5;0.45;0.6;a;true;0;0.05;7.678;13.498;20.998;5.820;3.847;8.257;12.041;4.410;0.023;0.004;0.041;-0.019;0.587;0.746;0.727;72.60;62.13;69.40;30.87;45.97;35.94;53.83;63.99;58.61;Wed Sep 06 2017 13:15:31 GMT-0700 (PDT)
59b05757a387ff28009469d1;oranges;a;1478;0.4;0.35;0.5;a;true;0;0.05;9.259;16.275;25.525;7.016;4.445;7.846;12.284;3.401;0.261;0.136;0.682;-0.125;0.352;0.727;0.377;79.19;69.40;75.70;19.46;35.94;25.22;41.76;58.61;48.12;Wed Sep 06 2017 13:15:32 GMT-0700 (PDT)
59b05757a387ff28009469d1;oranges;b;1210;0.8;0.6;0.9;b;true;0;0.10;17.900;14.311;29.529;3.589;16.587;10.181;26.098;6.406;0.279;0.285;0.834;-0.006;0.746;0.154;0.231;62.13;37.39;46.35;45.97;43.06;50.23;63.99;48.14;56.70;Wed Sep 06 2017 13:15:34 GMT-0700 (PDT)
59b05757a387ff28009469d1;oranges;b;2093;0.8;0.7;0.85;b;true;0;0.05;10.736;7.283;17.664;3.453;9.111;5.149;14.133;3.962;0.247;0.163;0.590;0.084;0.665;0.147;0.231;54.92;41.82;46.35;51.84;46.50;50.23;62.96;52.38;56.70;Wed Sep 06 2017 13:15:36 GMT-0700 (PDT)
59b05757a387ff28009469d1;oranges;b;1130;0.3;0.1;0.4;b;true;0;0.10;26.848;18.041;44.587;8.807;14.164;8.746;22.798;5.418;0.349;0.396;0.729;-0.047;0.155;0.377;0.328;93.23;75.70;82.57;4.18;25.22;14.58;12.93;48.12;35.27;Wed Sep 06 2017 13:15:37 GMT-0700 (PDT)
59b05757a387ff28009469d1;oranges;a;1127;0.4;0.3;0.6;a;true;0;0.10;18.041;29.436;47.200;11.395;8.746;15.961;24.547;7.215;0.396;0.170;0.891;-0.226;0.328;0.746;0.377;82.57;62.13;75.70;14.58;45.97;25.22;35.27;63.99;48.12;Wed Sep 06 2017 13:15:38 GMT-0700 (PDT)
59b05757a387ff28009469d1;oranges;a;1502;0.6;0.4;1;a;true;0;0.20;29.436;41.916;48.485;12.480;15.961;34.946;47.368;18.985;0.170;0.982;0.961;0.812;0.377;0.333;0.746;75.70;29.34;62.13;25.22;36.60;45.97;48.12;39.62;63.99;Wed Sep 06 2017 13:15:40 GMT-0700 (PDT)
59b05757a387ff28009469d1;oranges;a;990;0.55;0.35;0.95;a;true;0;0.20;32.713;37.448;50.172;4.735;16.225;34.103;46.850;17.878;0.709;0.895;0.950;0.186;0.352;0.218;0.709;79.19;33.41;66.00;19.46;39.87;41.27;41.76;43.88;62.27;Wed Sep 06 2017 13:15:41 GMT-0700 (PDT)
59b05757a387ff28009469d1;oranges;a;2486;0.4;0.2;0.8;a;true;0;0.20;33.244;39.504;68.797;6.260;16.523;31.171;46.041;14.648;0.521;0.418;0.969;-0.103;0.273;0.231;0.377;88.57;46.35;75.70;7.59;50.23;25.22;23.04;56.70;48.12;Wed Sep 06 2017 13:15:43 GMT-0700 (PDT)
59b05757a387ff28009469d1;oranges;b;1208;0.5;0.1;0.7;b;true;0;0.20;60.529;21.936;79.006;38.593;30.494;15.927;44.865;14.567;0.976;0.008;1.000;0.968;0.155;0.665;0.727;93.23;54.92;69.40;4.18;51.84;35.94;12.93;62.96;58.61;Wed Sep 06 2017 13:15:44 GMT-0700 (PDT)
59b05757a387ff28009469d1;oranges;a;1011;0.6;0.55;0.7;a;true;0;0.05;6.325;9.356;15.328;3.031;4.292;7.828;12.070;3.536;0.001;0.002;0.003;0.001;0.709;0.665;0.746;66.00;54.92;62.13;41.27;51.84;45.97;62.27;62.96;63.99;Wed Sep 06 2017 13:15:45 GMT-0700 (PDT)
59b05757a387ff28009469d1;oranges;b;1369;0.45;0.05;0.65;b;true;0;0.20;57.031;25.409;80.592;31.622;29.299;15.747;44.026;13.552;0.934;0.043;1.000;0.891;0.171;0.762;0.587;95.30;58.63;72.60;2.80;49.31;30.87;9.67;64.33;53.83;Wed Sep 06 2017 13:15:47 GMT-0700 (PDT)
59b05757a387ff28009469d1;oranges;a;1614;0.1;0;0.15;b;false;1;0.05;8.305;5.513;13.795;2.792;5.183;3.022;8.194;2.161;0.452;0.064;0.641;0.388;0.211;0.190;0.155;97.05;91.19;93.23;1.67;5.60;4.18;6.00;17.85;12.93;Wed Sep 06 2017 13:15:48 GMT-0700 (PDT)
59b05757a387ff28009469d1;oranges;a;1150;0.8;0.75;0.9;a;true;0;0.05;6.222;14.311;20.399;8.089;4.929;10.181;15.047;5.252;0.131;0.285;0.648;0.154;0.421;0.154;0.231;50.91;37.39;46.35;51.96;43.06;50.23;60.56;48.14;56.70;Wed Sep 06 2017 13:15:49 GMT-0700 (PDT)
59b05757a387ff28009469d1;oranges;b;1347;0.2;0.1;0.25;b;true;0;0.05;11.643;7.301;18.919;4.342;6.385;3.738;10.116;2.647;0.167;0.020;0.234;0.147;0.155;0.247;0.273;93.23;85.79;88.57;4.18;10.47;7.59;12.93;29.15;23.04;Wed Sep 06 2017 13:15:51 GMT-0700 (PDT)
59b05757a387ff28009469d1;oranges;a;900;0.7;0.65;0.8;a;true;0;0.05;4.696;10.736;14.490;6.040;4.037;9.111;12.966;5.074;0.001;0.247;0.274;0.246;0.762;0.231;0.665;58.63;46.35;54.92;49.31;50.23;51.84;64.33;56.70;62.96;Wed Sep 06 2017 13:15:53 GMT-0700 (PDT)
59b05757a387ff28009469d1;oranges;b;1028;0.2;0;0.3;b;true;0;0.10;19.936;15.309;35.117;4.627;11.563;7.817;19.344;3.746;0.785;0.061;0.865;0.724;0.211;0.328;0.273;97.05;82.57;88.57;1.67;14.58;7.59;6.00;35.27;23.04;Wed Sep 06 2017 13:15:54 GMT-0700 (PDT)
