subject;gender;age;palette_order
59ab5b0b6592220933cba933;Male;26;viridis,magma,plasma
59ab5b176592220933cba942;Male;32;viridis,plasma,magma
59ab5b286592220933cba966;Male;36;magma,viridis,plasma
59ab5c486592220933cbabf7;Female;31;magma,plasma,viridis
59ab5d232ebd06097c6ac486;Female;29;plasma,viridis,magma
59ab5e6b2ebd06097c6ac54e;Male;22;plasma,magma,viridis
59ab5e702ebd06097c6ac551;Male;34;viridis,magma,plasma
59ab5e772ebd06097c6ac558;Female;27;viridis,plasma,magma
59ab5ec22ebd06097c6ac5cc;Male;34;magma,viridis,plasma
59ab5f102ebd06097c6ac63d;Male;33;magma,plasma,viridis
59ab5f2d2ebd06097c6ac67c;Female;43;magma,viridis,plasma
59ab5f322ebd06097c6ac686;Female;31;viridis,plasma,magma
59ab5f7f2ebd06097c6ac703;Female;50;viridis,magma,plasma
59ab5f8a2ebd06097c6ac712;Female;28;plasma,magma,viridis
59ab5f8e2ebd06097c6ac719;Female;29;plasma,viridis,magma
59ab5fa22ebd06097c6ac74d;Female;26;magma,viridis,plasma
59ab5ff32ebd06097c6ac849;Female;41;plasma,viridis,magma
59ab60012ebd06097c6ac86c;Male;32;plasma,viridis,magma
59ab60072ebd06097c6ac882;Female;34;magma,plasma,viridis
59ab604f2ebd06097c6ac97b;Male;28;magma,viridis,plasma
59ab60702ebd06097c6aca10;Male;31;viridis,plasma,magma
59ab60d62ebd06097c6acb7d;Male;66;viridis,magma,plasma
59ab61582ebd06097c6acd80;Female;34;plasma,magma,viridis
59ab61582ebd06097c6acd82;Male;27;plasma,viridis,magma
59ab616f2ebd06097c6acdd4;Female;43;plasma,magma,viridis
59ab61972ebd06097c6ace65;Male;31;plasma,viridis,magma
59ab61d12ebd06097c6acf09;Female;29;magma,plasma,viridis
59ab61ed2ebd06097c6acf54;Male;55;magma,viridis,plasma
59ab61fe2ebd06097c6acf7f;Male;54;viridis,plasma,magma
59ab62442ebd06097c6ad09a;Female;35;viridis,magma,plasma
59ab62db2ebd06097c6ad20d;Female;45;magma,plasma,viridis
59ab63022ebd06097c6ad260;Male;26;viridis,magma,plasma
59ab64482ebd06097c6ad486;Female;29;magma,viridis,plasma
59ab66722ebd06097c6ad5b7;Female;38;viridis,plasma,magma
59ab66952ebd06097c6ad5c7;Female;60;viridis,magma,plasma
59ab66f32ebd06097c6ad5fb;Female;24;magma,plasma,viridis
59ab68f72ebd06097c6ad73a;Female;45;viridis,plasma,magma
59ab69252ebd06097c6ad745;Female;37;plasma,magma,viridis
59ab693b2ebd06097c6ad74f;Female;29;plasma,magma,viridis
59ab69502ebd06097c6ad766;Female;27;plasma,viridis,magma
59ab69512ebd06097c6ad768;Female;55;magma,plasma,viridis
59ab69692ebd06097c6ad78a;Male;34;plasma,magma,viridis
59ab697c2ebd06097c6ad7a2;Female;37;magma,viridis,plasma
59ab699f2ebd06097c6ad7e2;Female;52;viridis,plasma,magma
59ab6a892ebd06097c6ad998;Male;29;viridis,magma,plasma
59ab6ab52ebd06097c6ad9d1;Female;26;plasma,magma,viridis
59ab6ab62ebd06097c6ad9d3;Male;54;plasma,viridis,magma
59ab6b1e2ebd06097c6ada7a;Male;27;magma,plasma,viridis
59ab6b862ebd06097c6adb2d;Female;30;magma,plasma,viridis
59ab72d12ebd06097c6ade8a;Female;65;magma,viridis,plasma
59ab748d2ebd06097c6adf03;Male;34;plasma,magma,viridis
59ab78a02ebd06097c6adfbb;Female;50;viridis,plasma,magma
59ab7a0b2ebd06097c6ae03d;Male;45;viridis,magma,plasma
59af05a62ebd06097c6ae0bf;Male;31;plasma,viridis,magma
